org_id,organization_name,old_category,new_type,derived_state,needs_review
6259,Mumbai Urja Marg Limited,Others,Others,Maharashtra,YES
6260,Goa Tamnar Transmission Project Limited,Others,Others,Goa,YES
6261,Western Transco Power Limited,Others,Others,,YES
6262,Warora Kurnool Transmission Limited,Others,Others,Maharashtra,YES
6263,Kallam Transmission Limited,Others,Others,,YES
6264,KHAVDA II-A Transmission Limited,Others,Others,,YES
6265,Sipat Transmission Limited,Others,Others,Chhattisgarh,YES
6266,WRSS XXI(A) Transco Limited,Others,Others,,YES
6267,Rajgarh Transmission Limited,Others,Others,,YES
6268,KPS1 Transmission Ltd,Others,Others,,YES
6269,Chhattisgarh-WR Transmission Limited,Others,Others,Chhattisgarh,YES
6270,Khavda-Bhuj Transmission Ltd,Others,Others,,YES
6271,Lakadia Banaskantha Transco Limited,Others,Others,,YES
6272,Western Transmission Gujarat Limited,Others,Others,Gujarat,YES
6273,Raipur-Rajnandgaon-Warora Transmission Limited,Others,Others,Maharashtra,YES
6274,Jam Khambaliya Transco Limited,Others,Others,,YES
6275,Arcelormittal Nippon Steel India Limited,Others,Others,,YES
6276,BARC Facility,Others,Others,,YES
6277,Heavy Water Board,Others,Others,,YES
6278,Tata Power Mumbai,Others,Others,Maharashtra,YES
6279,National High Power Test Laboratory,Others,Others,,YES
6280,NTPC Vidyut Vyapar Nigam Limited,Others,Others,,YES
6281,SSNL,Others,Generation Company,,
6282,Gandhar,Others,Generation Company,,
6283,"Kalwa, Thane-Belapur",Others,Others,,YES
6284,Office: Executive Director (Transmission),Others,Others,,YES
6285,"Office: The Chief Engineer (Sub-Station) CSPTCL, Raipur",Others,Others,,YES
6286,"Address: Vidhut Siva Bhavan 5th Floor CSEB, Power Company Campus, Dangania",Others,Others,,YES
6287,"Vidyut Bhavan, 3rd Floor, Panaji, Goa-403 001",Others,Others,,YES
6288,Avaada Gjlakadiya Private Limited,Others,Others,,YES
6289,SSP,Others,Others,,YES
